DigikeyPN,Quantity,Designator,Value,PartNumber,Comment,Footprint,Description,LibRef,Library Reference,LoadCapacitance,Model:Footprint,Pins,ScrewSize,VisibleNetName

"WM17454-ND","1","J102","","","GPIO","HDR_100TH_2X8_SMT","Header, 8-Pin, Dual row","Header 8X2","Header 8X2","","100TH pin header, 2x8, SMT","16","",""
"535-9166-1-ND","2","Y101, Y300","","ABS25-32.768KHZ-T","","XTAL-SOJ-4","","XTAL-SOJ-4","XTAL-SOJ-4","12.5p","","4","",""
"887-1263-1-ND","1","Y100","","9C-8.000MEEJ-T","","HC-49S","Crystal Oscillator","XTAL","XTAL","18p","Crystal","2","",""
"317060015-ND","1","U700","","ESP8266-12E","","ESP8266 ESP-12-E","ESP8266 ESP-12-E","ESP8266 ESP-12-E","ESP8266 ESP-12-E","","ESP8266 ESP-12-E","22","",""
"732-4978-1-ND","6","D301, D302, D303, D304, D305, D400","","","0603, 0603, 0603, 0603, 0603, 3V3","LED_0603","Typical INFRARED GaAs LED, Typical INFRARED GaAs LED, Typical INFRARED GaAs LED, Typical INFRARED GaAs LED, Typical INFRARED GaAs LED, [NoValue]","LED0","LED0","","","2","",""
"706-1132-ND","1","U500","","IS42S16400J","","TSOP80P1170X120-54N","1Mb x 16 x 4 bank (64 Mbit) SDRAM","IS42S16400J","IS42S16400J","","TSOP, 54-Leads, Body 22.22x10.16mm,  (IS42S16400J)","54","",""
"LT8608IMSE#PBF-ND","1","U400","","LT8608","","TSSOP50P490X110_HS-11N","42V 1.5A step-down, low Iq","LT8608","LT8608","","TSSOP, 10-Leads, Body 3.00x3.00mm, Pitch 0.50mm, Thermal Pad 1.88x1.68mm, IPC Medium Density","11","",""
"LTC2055HMS8#PBF-ND","1","U302","","LTC2055","","TSOP65P490X110-8N","Dual zero-drift op amp","LTC2054/LTC2055","LTC2054/LTC2055","","TSOP, 8-Leads, Body 3.00x3.00mm (LTC2054/LTC2055)","8","",""
"638-1120-1-ND","1","U301","","EMC1412-1-ACZL-TR","","TSOP65P490X110-8N","Dual channel I2C temperature sensor","EMC1412","EMC1412","","TSOP, 8-Leads, Body 3.00x3.00mm, Pitch 0.65mm (MSOP-8, MCP79412)","8","",""
"MCP79412-I/MS-ND","1","U300","","MCP79412","","TSOP65P490X110-8N","I2C RTC w/ SRAM and EEPROM","MCP7941x","MCP7941x","","TSOP, 8-Leads, Body 3.00x3.00mm, Pitch 0.65mm (MSOP-8, MCP79412)","8","",""
"LTC2943IDD#PBF-ND","1","U203","","LTC2943","","DFN8-3x3","Multi-cell I2C fuel gauge","LTC2943A","LTC2943A","","LTC2943","9","",""
"497-1549-1-ND","2","U201, U202","","LM234SM","","SOIC127P600X175-8N (LM234)","Adjustable current source","LM234","LM234","","SOIC, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm,","3","",""
"LT3652HVIMSE#PBF-ND","1","U200","","LT3652","","TSOP65P490X110_HS-13N (LT3652)","MPPC and battery charger","LT3652","LT3652","","TSOP, 12-Leads, Body 4.04x3.00mm, Pitch 0.65mm, Thermal Pad 2.95x1.76mm,","13","",""
"497-14053-ND","1","U100","","STM32F429","STM32F429","TSQFP50P2200X2200X160-144M","Cortex-M4 microcontroller","STM32F429","STM32F429","","TSQFP, 144-Leads, Body 20.00x20.00mm, Pitch 0.50mm, STM32F429","144","",""
"36-5016CT-ND","7","TP105, TP106, TP200, TP206, TP303, TP401, TP702","","","TP_LARGE","TP_LARGE","","TP_LARGE","TP_LARGE","","5016","1","","GND"
"CMPSH1-4 CT-ND","1","D202","","CMPSH1-4","","SOT95P240X100-3N (CMPSH1-4 TR)","Schottky Diode","D Schottky","D Schottky","","SOT23, 3-Leads, Body 2.90x2.40mm,","2","",""
"36-5015CT-ND","26","TP100, TP101, TP102, TP103, TP104, TP201, TP203, TP204, TP205, TP207, TP208, TP209, TP300, TP301, TP302, TP304, TP305, TP306, TP307, TP308, TP309, TP400, TP600, TP601, TP700, TP701","","","","TP_SMALL","","TP_SMALL","TP_SMALL","","5015","1","","TX, RX, TX, RX, 3V3, VIN, VBAT_INT, VINFB, VFB, VBAT, CHRG, FAULT, SDA, SCL, ALERT, SPECT0, SPECT1, LED0, LED1, LED2, LED3, 3V3, SDA, SCL, TX, RX"
"732-7046-1-ND","3","SW100, SW101, SW700","","434121043816","BTN0, RESET, RESET","4341x10438x6","WS-TASV 6.0x3.5 mm SMD","WS-TASV, 434121043816","WS-TASV, 434121043816","","6.0*3.5mm vertical type, SMD, height 4.3mm, white actuator, 260gf, T&R","2","",""
"WM17452-ND","2","J103, J701","","","HDR_SWD_2x6, ESP_GPIO","HDR_100TH_2X6_SMT","6 pin SWD connector with +6 GND pins, Header, 6-Pin, Dual row","HDR_SWD_2x6, Header 6X2","HDR_SWD_2x6, Header 6X2","","100TH pin header, 2x6, SMT","12","",""
"732-4971-1-ND","3","D203, D204, D300","","","CHRG, FAULT, 0603","LED_0603","[NoValue], [NoValue], Typical INFRARED GaAs LED","LED0","LED0","","","2","",""
"568-5818-1-ND","2","Q700, Q701","","2N7002","","SOT95P240X100-3N (CMPSH1-4 TR)","N-Channel MOSFET","MOSFET-N","MOSFET-N","","SOT23, 3-Leads, Body 2.90x2.40mm,","3","",""
"MMBT3904LT1GOSCT-ND","1","Q300","","MMBT3904","","SOT90P240X110-3N","NPN General Purpose Amplifier","2N3904","2N3904","","SOT23, 3-Leads, Body 2.90x2.40mm, Pitch 0.90mm, MMBT3904","3","",""
"CMSH3-40MA TR13CT-ND","2","D200, D201","","CMSH3-40MA","","SODFL519X262-2N (CMSH3-40MA)","Schottky Diode","D Schottky","D Schottky","","SODFL, 2-Leads, Body 2.60x5.19mm,","2","",""
"36-9923-ND","4","MTGH1, MTGH2, MTGH3, MTGH4","","","MTGH","MTGH-M3x0.5","Mounting hole","MTGH","MTGH","","M3 x 0.5 pan head mounting hole","1","M3x0.5",""
"732-2770-ND","1","J203","","691322110003","691322110003","691322110003","WR-TBL Terminal block - serie 3221 - 3.50 mm","691322110003","691322110003","","3,50mm - PCB Horizontal - 03p","3","",""
"732-2769-ND","1","J200","","691322110002","691322110002","691322110002","WR-TBL Terminal block - serie 3221 - 3.50 mm","691322110002","691322110002","","3,50mm - PCB Horizontal - 02p","2","",""
"SRR1260-3R3YCT-ND","1","L400","3.3u","SRR1260-3R3","","SRR1260","Inductor","Inductor","Inductor","","","2","",""
"SRR1208-150MLCT-ND","1","L200","15u","SRR1208-150ML","","srr1208","Inductor","Inductor","Inductor","","","2","",""
"CSR1206FK25L0CT-ND","1","R210","25m","","1206","RES_1206","Resistor","Res1","Res1","","","2","",""
