Designator,Value,Comment,Footprint,Description,Quantity,LibRef,DigikeyPN,Library Reference,LoadCapacitance,Model:Footprint,PartNumber,Pins,ScrewSize,VisibleNetName

"TP307","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","LED1"
"TP306","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","LED0"
"TP305","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","SPECT1"
"J600","","CAMERA_2x10","OV5642_HDR_2x10","20-pin parallel camera connector for OV5642","1","CAMERA_2x10","609-3221-ND","CAMERA_2x10","","OV5642 camera 100TH pin header 2x10 vertical","","20","",""
"TP304","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","SPECT0"
"TP303","","TP_LARGE","TP_LARGE","","1","TP_LARGE","36-5016CT-ND","TP_LARGE","","5016","","1","","GND"
"TP302","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","ALERT"
"TP301","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","SCL"
"TP300","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","SDA"
"TP209","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","FAULT"
"TP208","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","CHRG"
"TP207","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","VBAT"
"TP206","","TP_LARGE","TP_LARGE","","1","TP_LARGE","36-5016CT-ND","TP_LARGE","","5016","","1","","GND"
"TP205","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","VFB"
"TP204","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","VINFB"
"TP203","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","VBAT_INT"
"TP202","","TP_TINY","TP_TINY","","1","TP_TINY","","TP_TINY","","1mm round tiny testpoint","","1","","SENSE"
"TP201","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","VIN"
"TP200","","TP_LARGE","TP_LARGE","","1","TP_LARGE","36-5016CT-ND","TP_LARGE","","5016","","1","","GND"
"TP106","","TP_LARGE","TP_LARGE","","1","TP_LARGE","36-5016CT-ND","TP_LARGE","","5016","","1","","GND"
"TP105","","TP_LARGE","TP_LARGE","","1","TP_LARGE","36-5016CT-ND","TP_LARGE","","5016","","1","","GND"
"TP104","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","3V3"
"TP103","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","RX"
"TP102","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","TX"
"TP101","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","RX"
"TP100","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","TX"
"SW700","","RESET","4341x10438x6","WS-TASV 6.0x3.5 mm SMD","1","WS-TASV, 434121043816","732-7046-1-ND","WS-TASV, 434121043816","","6.0*3.5mm vertical type, SMD, height 4.3mm, white actuator, 260gf, T&R","434121043816","2","",""
"SW101","","RESET","4341x10438x6","WS-TASV 6.0x3.5 mm SMD","1","WS-TASV, 434121043816","732-7046-1-ND","WS-TASV, 434121043816","","6.0*3.5mm vertical type, SMD, height 4.3mm, white actuator, 260gf, T&R","434121043816","2","",""
"SW100","","BTN0","4341x10438x6","WS-TASV 6.0x3.5 mm SMD","1","WS-TASV, 434121043816","732-7046-1-ND","WS-TASV, 434121043816","","6.0*3.5mm vertical type, SMD, height 4.3mm, white actuator, 260gf, T&R","434121043816","2","",""
"SJ610","","0603","SJ_0603","Solder jumper","1","SJ","","SJ","","0603 net tie","","2","",""
"SJ609","","0603","SJ_0603","Solder jumper","1","SJ","","SJ","","0603 net tie","","2","",""
"SJ608","","0603","SJ_0603","Solder jumper","1","SJ","","SJ","","0603 net tie","","2","",""
"SJ607","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ606","","0603","SJ_0603","Solder jumper","1","SJ","","SJ","","0603 net tie","","2","",""
"SJ605","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ604","","0603","SJ_0603","Solder jumper","1","SJ","","SJ","","0603 net tie","","2","",""
"SJ603","","0603","SJ_0603","Solder jumper","1","SJ","","SJ","","0603 net tie","","2","",""
"SJ602","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ601","","0603","SJ_0603","Solder jumper","1","SJ","","SJ","","0603 net tie","","2","",""
"SJ600","","0603","SJ_0603","Solder jumper","1","SJ","","SJ","","0603 net tie","","2","",""
"SJ301","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ300","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ200","","SJ","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ112","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ111","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ110","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ109","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ108","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ107","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ106","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ105","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ104","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ103","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ101","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"SJ100","","0805","SJ_0805","Solder jumper","1","SJ","","SJ","","","","2","",""
"J400","","EXT 3V3","HDR1X4","Header, 4-Pin","1","Header 4","732-5317-ND","Header 4","","Connector; Header; 4 Position","","4","",""
"J100","","HDR_FTDI","HDR_100TH_1x6","Sparkfun FTDI pinout connector","1","HDR_FTDI","609-3263-ND","HDR_FTDI","","100TH pin header 1x6 vertical","","6","",""
"J204","","VBAT","HDR1X2","Header, 2-Pin","1","Header 2","952-1770-ND","Header 2","","Connector; Header; 2 Position","","2","",""
"D400","","3V3","LED_0603","","1","LED0","732-4978-1-ND","LED0","","","","2","",""
"J103","","HDR_SWD_2x6","HDR_100TH_2X6_SMT","6 pin SWD connector with +6 GND pins","1","HDR_SWD_2x6","WM17452-ND","HDR_SWD_2x6","","100TH pin header, 2x6, SMT","","12","",""
"MTGH1","","MTGH","MTGH-M3x0.5","Mounting hole","1","MTGH","36-9923-ND","MTGH","","M3 x 0.5 pan head mounting hole","","1","M3x0.5",""
"TP309","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","LED3"
"J102","","GPIO","HDR_100TH_2X8_SMT","Header, 8-Pin, Dual row","1","Header 8X2","WM17454-ND","Header 8X2","","100TH pin header, 2x8, SMT","","16","",""
"TP308","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","LED2"
"JP701","","JP-2","HDR_100TH_1x2","2-pos Jumper","1","JP-2","952-1770-ND","JP-2","","100TH pin header 1x2 vertical","","2","",""
"JP700","","JP-2","HDR_100TH_1x2","2-pos Jumper","1","JP-2","952-1770-ND","JP-2","","100TH pin header 1x2 vertical","","2","",""
"D304","","0603","LED_0603","Typical INFRARED GaAs LED","1","LED0","732-4978-1-ND","LED0","","","","2","",""
"D303","","0603","LED_0603","Typical INFRARED GaAs LED","1","LED0","732-4978-1-ND","LED0","","","","2","",""
"D302","","0603","LED_0603","Typical INFRARED GaAs LED","1","LED0","732-4978-1-ND","LED0","","","","2","",""
"D301","","0603","LED_0603","Typical INFRARED GaAs LED","1","LED0","732-4978-1-ND","LED0","","","","2","",""
"D300","","0603","LED_0603","Typical INFRARED GaAs LED","1","LED0","732-4971-1-ND","LED0","","","","2","",""
"D204","","FAULT","LED_0603","","1","LED0","732-4971-1-ND","LED0","","","","2","",""
"D203","","CHRG","LED_0603","","1","LED0","732-4971-1-ND","LED0","","","","2","",""
"D202","","","SOT95P240X100-3N (CMPSH1-4 TR)","Schottky Diode","1","D Schottky","CMPSH1-4 CT-ND","D Schottky","","SOT23, 3-Leads, Body 2.90x2.40mm,","CMPSH1-4","2","",""
"D201","","","SODFL519X262-2N (CMSH3-40MA)","Schottky Diode","1","D Schottky","CMSH3-40MA TR13CT-ND","D Schottky","","SODFL, 2-Leads, Body 2.60x5.19mm,","CMSH3-40MA","2","",""
"Q701","","","SOT95P240X100-3N (CMPSH1-4 TR)","N-Channel MOSFET","1","MOSFET-N","568-5818-1-ND","MOSFET-N","","SOT23, 3-Leads, Body 2.90x2.40mm,","2N7002","3","",""
"Q700","","","SOT95P240X100-3N (CMPSH1-4 TR)","N-Channel MOSFET","1","MOSFET-N","568-5818-1-ND","MOSFET-N","","SOT23, 3-Leads, Body 2.90x2.40mm,","2N7002","3","",""
"Q300","","","SOT90P240X110-3N","NPN General Purpose Amplifier","1","2N3904","MMBT3904LT1GOSCT-ND","2N3904","","SOT23, 3-Leads, Body 2.90x2.40mm, Pitch 0.90mm, MMBT3904","MMBT3904","3","",""
"D200","","","SODFL519X262-2N (CMSH3-40MA)","Schottky Diode","1","D Schottky","CMSH3-40MA TR13CT-ND","D Schottky","","SODFL, 2-Leads, Body 2.60x5.19mm,","CMSH3-40MA","2","",""
"J201","","PV_IN","HDR1X2","Header, 2-Pin","1","Header 2","952-1770-ND","Header 2","","Connector; Header; 2 Position","","2","",""
"J200","","691322110002","691322110002","WR-TBL Terminal block - serie 3221 - 3.50 mm","1","691322110002","732-2769-ND","691322110002","","3,50mm - PCB Horizontal - 02p","691322110002","2","",""
"MTGH4","","MTGH","MTGH-M3x0.5","Mounting hole","1","MTGH","36-9923-ND","MTGH","","M3 x 0.5 pan head mounting hole","","1","M3x0.5",""
"MTGH3","","MTGH","MTGH-M3x0.5","Mounting hole","1","MTGH","36-9923-ND","MTGH","","M3 x 0.5 pan head mounting hole","","1","M3x0.5",""
"J203","","691322110003","691322110003","WR-TBL Terminal block - serie 3221 - 3.50 mm","1","691322110003","732-2770-ND","691322110003","","3,50mm - PCB Horizontal - 03p","691322110003","3","",""
"J202","","NTC","HDR1X2","Header, 2-Pin","1","Header 2","952-1770-ND","Header 2","","Connector; Header; 2 Position","","2","",""
"TP400","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","3V3"
"MTGH2","","MTGH","MTGH-M3x0.5","Mounting hole","1","MTGH","36-9923-ND","MTGH","","M3 x 0.5 pan head mounting hole","","1","M3x0.5",""
"JP200","","SHDN_EN","HDR_100TH_1x3","3-pos Jumper","1","JP-3","732-5316-ND","JP-3","","100TH pin header 1x3 vertical","","3","",""
"D305","","0603","LED_0603","Typical INFRARED GaAs LED","1","LED0","732-4978-1-ND","LED0","","","","2","",""
"J701","","ESP_GPIO","HDR_100TH_2X6_SMT","Header, 6-Pin, Dual row","1","Header 6X2","WM17452-ND","Header 6X2","","100TH pin header, 2x6, SMT","","12","",""
"J700","","HDR_FTDI_EXTENDED","HDR1X8","","1","HDR_FTDI_EXTENDED","609-3264-ND","HDR_FTDI_EXTENDED","","Connector; Header; 8 Position","","8","",""
"J101","","HDR_FTDI","HDR_100TH_1x6","Sparkfun FTDI pinout connector","1","HDR_FTDI","609-3263-ND","HDR_FTDI","","100TH pin header 1x6 vertical","","6","",""
"TP401","","TP_LARGE","TP_LARGE","","1","TP_LARGE","36-5016CT-ND","TP_LARGE","","5016","","1","","GND"
"TP500","","TP_TINY","TP_TINY","","1","TP_TINY","","TP_TINY","","1mm round tiny testpoint","","1","","GND"
"TP501","","TP_TINY","TP_TINY","","1","TP_TINY","","TP_TINY","","1mm round tiny testpoint","","1","","CLK"
"TP600","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","SDA"
"TP601","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","SCL"
"TP700","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","TX"
"TP701","","","TP_SMALL","","1","TP_SMALL","36-5015CT-ND","TP_SMALL","","5015","","1","","RX"
"TP702","","TP_LARGE","TP_LARGE","","1","TP_LARGE","36-5016CT-ND","TP_LARGE","","5016","","1","","GND"
"U100","","STM32F429","TSQFP50P2200X2200X160-144M","Cortex-M4 microcontroller","1","STM32F429","497-14053-ND","STM32F429","","TSQFP, 144-Leads, Body 20.00x20.00mm, Pitch 0.50mm, STM32F429","STM32F429","144","",""
"U200","","","TSOP65P490X110_HS-13N (LT3652)","MPPC and battery charger","1","LT3652","LT3652HVIMSE#PBF-ND","LT3652","","TSOP, 12-Leads, Body 4.04x3.00mm, Pitch 0.65mm, Thermal Pad 2.95x1.76mm,","LT3652","13","",""
"U201","","","SOIC127P600X175-8N (LM234)","Adjustable current source","1","LM234","497-1549-1-ND","LM234","","SOIC, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm,","LM234SM","3","",""
"U202","","","SOIC127P600X175-8N (LM234)","Adjustable current source","1","LM234","497-1549-1-ND","LM234","","SOIC, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm,","LM234SM","3","",""
"U203","","","DFN8-3x3","Multi-cell I2C fuel gauge","1","LTC2943A","LTC2943IDD#PBF-ND","LTC2943A","","LTC2943","LTC2943","9","",""
"U300","","","TSOP65P490X110-8N","I2C RTC w/ SRAM and EEPROM","1","MCP7941x","MCP79412-I/MS-ND","MCP7941x","","TSOP, 8-Leads, Body 3.00x3.00mm, Pitch 0.65mm (MSOP-8, MCP79412)","MCP79412","8","",""
"U301","","","TSOP65P490X110-8N","Dual channel I2C temperature sensor","1","EMC1412","638-1120-1-ND","EMC1412","","TSOP, 8-Leads, Body 3.00x3.00mm, Pitch 0.65mm (MSOP-8, MCP79412)","EMC1412-1-ACZL-TR","8","",""
"U302","","","TSOP65P490X110-8N","Dual zero-drift op amp","1","LTC2054/LTC2055","LTC2055HMS8#PBF-ND","LTC2054/LTC2055","","TSOP, 8-Leads, Body 3.00x3.00mm (LTC2054/LTC2055)","LTC2055","8","",""
"U400","","","TSSOP50P490X110_HS-11N","42V 1.5A step-down, low Iq","1","LT8608","LT8608IMSE#PBF-ND","LT8608","","TSSOP, 10-Leads, Body 3.00x3.00mm, Pitch 0.50mm, Thermal Pad 1.88x1.68mm, IPC Medium Density","LT8608","11","",""
"U500","","","TSOP80P1170X120-54N","1Mb x 16 x 4 bank (64 Mbit) SDRAM","1","IS42S16400J","706-1132-ND","IS42S16400J","","TSOP, 54-Leads, Body 22.22x10.16mm,  (IS42S16400J)","IS42S16400J","54","",""
"U700","","","ESP8266 ESP-12-E","ESP8266 ESP-12-E","1","ESP8266 ESP-12-E","317060015-ND","ESP8266 ESP-12-E","","ESP8266 ESP-12-E","ESP8266-12E","22","",""
"Y100","","","HC-49S","Crystal Oscillator","1","XTAL","887-1263-1-ND","XTAL","18p","Crystal","9C-8.000MEEJ-T","2","",""
"Y101","","","XTAL-SOJ-4","","1","XTAL-SOJ-4","535-9166-1-ND","XTAL-SOJ-4","12.5p","","ABS25-32.768KHZ-T","4","",""
"Y300","","","XTAL-SOJ-4","","1","XTAL-SOJ-4","535-9166-1-ND","XTAL-SOJ-4","12.5p","","ABS25-32.768KHZ-T","4","",""
"R707","0","1206","RES_1206","Resistor","1","Res1","36-5106CT-ND","Res1","","","","2","",""
"R403","0","1206","RES_1206","Resistor","1","Res1","36-5106CT-ND","Res1","","","","2","",""
"R100","0","0805","RES_0805","Resistor","1","Res1","311-0.0ARCT-ND","Res1","","","","2","",""
"R400","0","1206","RES_1206","Resistor","1","Res1","36-5106CT-ND","Res1","","","","2","",""
"R401","1M","0805","RES_0805","Resistor","1","Res1","311-1.00MCRCT-ND","Res1","","","","2","",""
"R303","1M","0402","RES_0402","Resistor","1","Res1","311-1.00MLRCT-ND","Res1","","","","2","",""
"R308","1M","0402","RES_0402","Resistor","1","Res1","311-1.00MLRCT-ND","Res1","","","","2","",""
"R202","1k","0805","RES_0805","Resistor","1","Res1","311-1.00KCRCT-ND","Res1","","","","2","",""
"C700","1n","0805","CAP_0805","Capacitor","1","Cap","1276-1020-1-ND","Cap","","","","2","",""
"C200","1u","0805,50V","CAP_0805","Capacitor","1","Cap","1276-6470-1-ND","Cap","","","","2","",""
"C407","2.2u","0805","CAP_0805","Capacitor","1","Cap","1276-6458-1-ND","Cap","","","","2","",""
"C115","2.2u","0805","CAP_0805","Capacitor","1","Cap","1276-6458-1-ND","Cap","","","","2","",""
"C114","2.2u","0805","CAP_0805","Capacitor","1","Cap","1276-6458-1-ND","Cap","","","","2","",""
"C113","2.2u","0805","CAP_0805","Capacitor","1","Cap","1276-6458-1-ND","Cap","","","","2","",""
"R204","2.4k","0805","RES_0805","Resistor","1","Res1","311-2.40KCRCT-ND","Res1","","","","2","",""
"R601","3.3k","0805","RES_0805","Resistor","1","Res1","311-3.30KCRCT-ND","Res1","","","","2","",""
"R600","3.3k","0805","RES_0805","Resistor","1","Res1","311-3.30KCRCT-ND","Res1","","","","2","",""
"R302","3.3k","0805","RES_0805","Resistor","1","Res1","311-3.30KCRCT-ND","Res1","","","","2","",""
"R301","3.3k","0805","RES_0805","Resistor","1","Res1","311-3.30KCRCT-ND","Res1","","","","2","",""
"R300","3.3k","0805","RES_0805","Resistor","1","Res1","311-3.30KCRCT-ND","Res1","","","","2","",""
"L400","3.3u","","SRR1260","Inductor","1","Inductor","SRR1260-3R3YCT-ND","Inductor","","","SRR1260-3R3","2","",""
"C203","4.7u","1210,50V","CAP_1210","Capacitor","1","Cap","1276-3343-1-ND","Cap","","","","2","",""
"C202","4.7u","1210,50V","CAP_1210","Capacitor","1","Cap","1276-3343-1-ND","Cap","","","","2","",""
"C201","4.7u","1210,50V","CAP_1210","Capacitor","1","Cap","1276-3343-1-ND","Cap","","","","2","",""
"R711","10k","0805","RES_0805","Resistor","1","Res1","311-10.0KCRCT-ND","Res1","","","","2","",""
"R708","10k","0805","RES_0805","Resistor","1","Res1","311-10.0KCRCT-ND","Res1","","","","2","",""
"R706","10k","0805","RES_0805","Resistor","1","Res1","311-10.0KCRCT-ND","Res1","","","","2","",""
"R703","10k","0805","RES_0805","Resistor","1","Res1","311-10.0KCRCT-ND","Res1","","","","2","",""
"R702","10k","0805","RES_0805","Resistor","1","Res1","311-10.0KCRCT-ND","Res1","","","","2","",""
"R701","10k","0805","RES_0805","Resistor","1","Res1","311-10.0KCRCT-ND","Res1","","","","2","",""
"R700","10k","0805","RES_0805","Resistor","1","Res1","311-10.0KCRCT-ND","Res1","","","","2","",""
"R212","10k","0805","RES_0805","Resistor","1","Res1","311-10.0KCRCT-ND","Res1","","","","2","",""
"R211","10k","0805","RES_0805","Resistor","1","Res1","311-10.0KCRCT-ND","Res1","","","","2","",""
"C408","10n","0805","CAP_0805","Capacitor","1","Cap","1276-1015-1-ND","Cap","","","","2","",""
"C403","10p","0805","CAP_0805","Capacitor","1","Cap","1276-1109-1-ND","Cap","","","","2","",""
"C404","10u","0805","CAP_0805","Capacitor","1","Cap","1276-6455-1-ND","Cap","","","","2","",""
"C401","10u","1206,16V","CAP_1206","Capacitor","1","Cap","1276-1312-1-ND","Cap","","","","2","",""
"C206","10u","1206,16V","CAP_1206","Capacitor","1","Cap","1276-1312-1-ND","Cap","","","","2","",""
